date,open,high,low,close,volume,return_1d,vol_5d,sma_5,sma_20,sent_count,sent_mean,sent_median,sent_std,sent_pos_share,sent_neg_share
2025-07-07,108217.46849992426,109215.19771840284,108217.46849992426,109215.19771840284,14638669497.351297,0.009219668804942183,0.016067785086691884,108780.04144583142,106246.78930996105,0,0.0,0.0,0.0,0.0,0.0
2025-07-08,109215.19771840284,109215.19771840284,108300.71675785031,108300.71675785031,25493246475.80407,-0.0083732024448685,0.010093635287647434,108675.29595106561,106427.65390793569,0,0.0,0.0,0.0,0.0,0.0
2025-07-09,108300.71675785031,108953.19187727802,108300.71675785031,108953.19187727802,20488865138.27645,0.006024661137622678,0.00987951288837991,108545.49335869316,106639.17874915425,0,0.0,0.0,0.0,0.0,0.0
2025-07-10,108953.19187727802,111327.53054245669,108953.19187727802,111327.53054245669,37078460440.66385,0.021792281843868055,0.011015820026488486,109202.82107918244,106971.02277504801,0,0.0,0.0,0.0,0.0,0.0
2025-07-11,111327.53054245669,115879.65030112496,111327.53054245669,115879.65030112496,56204086624.04028,0.04088943441471771,0.018511747173617088,110735.25743942257,107600.50003286642,0,0.0,0.0,0.0,0.0,0.0
2025-07-12,115879.65030112496,117571.02510036016,115879.65030112496,117571.02510036016,64185145923.88688,0.01459596050592138,0.018326370690482534,112406.42291581402,108402.42286864777,0,0.0,0.0,0.0,0.0,0.0
2025-07-13,117571.02510036016,117571.02510036016,117418.95745007684,117418.95745007684,24351256098.393543,-0.0012934109416288253,0.01622319397693506,114230.07105425934,109230.74160882721,0,0.0,0.0,0.0,0.0,0.0
2025-07-14,117418.95745007684,119117.55666327637,117418.95745007684,119117.55666327637,27310851454.97692,0.014466141158864687,0.015285437392073825,116262.94401145898,109911.03822302446,0,0.0,0.0,0.0,0.0,0.0
2025-07-15,119117.55666327637,119833.67446712355,119117.55666327637,119833.67446712355,68915956378.80447,0.006011857730355619,0.01594483636478993,117964.17279639238,110603.91848147642,0,0.0,0.0,0.0,0.0,0.0
2025-07-16,119833.67446712355,119833.67446712355,117678.19493404306,117678.19493404306,80299520980.2335,-0.017987260614893752,0.013544210983202307,118323.88172297599,111125.90170567045,0,0.0,0.0,0.0,0.0,0.0
2025-07-17,117678.19493404306,118748.1627367753,117678.19493404306,118748.1627367753,50374263848.76278,0.009092319977646923,0.012571008749419545,118559.30925025903,111714.10921562134,0,0.0,0.0,0.0,0.0,0.0
2025-07-18,118748.1627367753,119445.36520434043,118748.1627367753,119445.36520434043,49282617205.72662,0.005871269512696342,0.012501645837145555,118964.59080111174,112332.43169551637,0,0.0,0.0,0.0,0.0,0.0
2025-07-19,119445.36520434043,119445.36520434043,117988.94664455787,117988.94664455787,58896449260.69391,-0.012193177669899469,0.012334436303055208,118738.86879736805,112865.29975351245,0,0.0,0.0,0.0,0.0,0.0
2025-07-20,117988.94664455787,117988.94664455787,117901.62655900871,117901.62655900871,23934511126.349533,-0.0007400700492072865,0.011607974266270587,118352.45921574507,113340.55026580393,0,0.0,0.0,0.0,0.0,0.0
2025-07-21,117901.62655900871,117901.62655900871,117256.9208222684,117256.9208222684,36702153882.06748,-0.00546816660258409,0.008571763116674354,118268.20439339014,113846.75635156641,0,0.0,0.0,0.0,0.0,0.0
2025-07-22,117256.9208222684,117482.46977767294,117256.9208222684,117482.46977767294,46344384345.39471,0.0019235449287162698,0.006978430517324984,118015.06580156968,114440.20985336853,0,0.0,0.0,0.0,0.0,0.0
2025-07-23,117482.46977767294,119955.79570607653,117482.46977767294,119955.79570607653,58939000420.94166,0.021052723296370646,0.012468494867063348,118117.15190191688,114996.7774270884,0,0.0,0.0,0.0,0.0,0.0
2025-07-24,119955.79570607653,119955.79570607653,118629.05588130427,118629.05588130427,45225685167.61703,-0.011060239457067356,0.012177631662570344,118245.17374926616,115448.1199791966,0,0.0,0.0,0.0,0.0,0.0
2025-07-25,118629.05588130427,118629.05588130427,118354.43517438594,118354.43517438594,51940414419.3327,-0.0023149531527343337,0.012258565850513735,118335.7354723416,115963.79714091537,0,0.0,0.0,0.0,0.0,0.0
2025-07-26,118354.43517438594,118354.43517438594,117540.80837085741,117540.80837085741,91617702596.10347,-0.006874493569503426,0.012453683191530441,118392.51298205943,116429.96413446203,0,0.0,0.0,0.0,0.0,0.0
2025-07-27,117540.80837085741,117959.54234360624,117540.80837085741,117959.54234360624,25145925063.881348,0.003562456125260516,0.012520416450465659,118487.92749524608,116867.18136572221,0,0.0,0.0,0.0,0.0,0.0
2025-07-28,117959.54234360624,119418.91405141471,117959.54234360624,119418.91405141471,30220402191.467663,0.012371798659216893,0.009178432230888945,118380.55116431371,117423.09123040042,0,0.0,0.0,0.0,0.0,0.0
2025-07-29,119418.91405141471,119418.91405141471,118003.30201607826,118003.30201607826,43433742203.62158,-0.011854169388334723,0.009403063103323303,118255.40039126851,117875.59673734044,0,0.0,0.0,0.0,0.0,0.0
2025-07-30,118003.30201607826,118003.30201607826,117853.30892863822,117853.30892863822,42860287143.68828,-0.0012710922904479727,0.009378732673443616,118155.17514211897,118201.88565664952,0,0.0,0.0,0.0,0.0,0.0
2025-07-31,117853.30892863822,117853.30892863822,117833.24087995925,117833.24087995925,43054424656.58649,-0.0001702798916839443,0.008753941069071833,118213.66164393935,118299.5651855912,0,0.0,0.0,0.0,0.0,0.0
